"","PC1","PC2","PC3","PC4"
"CI","","","0.6388","0.7223"
"CP","","","0.6423","0.7344"
"NBFG","","0.6244","",""
"NBCE","","0.6789","",""
"NBG","","0.732","",""
"NCE","","0.7246","",""
"NBODP","0.8914","","",""
"NPODP","0.8906","","",""
"NBIIF","0.9189","","",""
"NPIIF","0.9185","","",""
"NBOAF","0.9175","","",""
"NPOAF","0.9124","","",""
"CPNE","","","0.6207","0.7365"
"PCPNE","","","",""
"NBIDD","","","",""
"NPIDD","","","",""
"ND","","","",""
"NBM","","0.6534","",""
"NPM","","0.6309","",""
"NBD","","0.6702","",""
"NPD","","0.6629","",""
"NBRT","","","",""
"NPRT","","","",""
