,mean,sd,median,mode,min,max,n
Concluintes Inscritos,72.5983,208.7281,43,25,2,11155,6525
Concluintes Participantes,59.8048,170.2845,36,20,2,10059,6525
Nota Bruta - FG,54.4062,6.1212,54.0683,55.5,4.7127,78.3068,6525
Nota Bruta - CE,42.3198,7.933,41.3038,44.6,4.1746,79.1081,6525
Nota Bruta - Geral,45.3538,6.8583,44.6045,44.2,4.3141,78.7597,6525
Nota Contínua do Enade,2.4132,0.8497,2.342,5,0,5,6525
Nota Bruta - Organização Didático-Pedagógica,5.2273,0.4558,5.2259,6,2.4348,6,6525
Nota Padronizada - Organização Didático-Pedagógica,3.0839,1.1056,3.0563,5,0,5,6525
Nota Bruta - Infraestrutura e Instalações Físicas,4.9911,0.6377,5.0209,6,2.1503,6,6525
Nota Padronizada - Infraestrutura e Instalações Físicas,3.1997,1.1222,3.2357,5,0,5,6525
Nota Bruta - Oportunidades de Ampliação da Formação,4.6117,0.764,4.5844,6,1.1905,6,6525
Nota Padronizada - Oportunidades de Ampliação da Formação,3.0329,1.0839,3.0048,5,0,5,6525
Concluintes Participantes com nota no Enem,32.0848,71.0782,20,7,2,3842,6525
Percentual de Concluintes participantes com nota no Enem,0.5609,0.1842,0.5556,0.5,0.2,1,6525
Nota Bruta - IDD,-0.0305,2.3073,-0.0428,0.5804,-23.6519,24.4723,6525
Nota Padronizada - IDD,2.5118,0.8108,2.5017,0,0,5,6525
Nr. de Docentes,27.4972,22.37,21,16,0,298,6525
Nota Bruta - Mestres,0.7653,0.2009,0.8065,1,0,1,6525
Nota Padronizada - Mestres,3.5737,1.1762,3.7778,5,0,5,6525
Nota Bruta - Doutores,0.3142,0.2182,0.2778,0,0,1,6525
Nota Padronizada - Doutores,1.7414,1.1871,1.556,0,0,5,6525
Nota Bruta - Regime de Trabalho,0.7599,0.2329,0.8125,1,0,1,6525
Nota Padronizada - Regime de Trabalho,3.6961,1.2522,3.9615,5,0,5,6525
CPC Contínuo,2.6353,0.5671,2.6349,2.9547,0.4257,4.5615,6525
CPC Faixa,3.1954,0.6325,3,3,1,5,6525
