,mean,sd,median,mode,min,max,n
Concluintes Inscritos,67.6625,204.194,39,25,1,11155,8121
Concluintes Participantes,55.0494,162.6907,32,20,0,10059,8121
Nota Bruta - FG,NA,NA,NA,NA,NA,NA,8121
Nota Bruta - CE,NA,NA,NA,NA,NA,NA,8121
Nota Bruta - Geral,NA,NA,NA,NA,NA,NA,8121
Nota Contínua do Enade,NA,NA,NA,NA,NA,NA,8121
Nota Bruta - Organização Didático-Pedagógica,NA,NA,NA,6,NA,NA,8121
Nota Padronizada - Organização Didático-Pedagógica,NA,NA,NA,5,NA,NA,8121
Nota Bruta - Infraestrutura e Instalações Físicas,NA,NA,NA,6,NA,NA,8121
Nota Padronizada - Infraestrutura e Instalações Físicas,NA,NA,NA,5,NA,NA,8121
Nota Bruta - Oportunidades de Ampliação da Formação,NA,NA,NA,6,NA,NA,8121
Nota Padronizada - Oportunidades de Ampliação da Formação,NA,NA,NA,5,NA,NA,8121
Concluintes Participantes com nota no Enem,NA,NA,NA,NA,NA,NA,8121
Percentual de Concluintes participantes com nota no Enem,NA,NA,NA,NA,NA,NA,8121
Nota Bruta - IDD,NA,NA,NA,NA,NA,NA,8121
Nota Padronizada - IDD,NA,NA,NA,NA,NA,NA,8121
Nr. de Docentes,26.1061,21.6867,20,16,0,298,8121
Nota Bruta - Mestres,0.7633,0.2083,0.8077,1,0,1,8121
Nota Padronizada - Mestres,NA,NA,NA,5,NA,NA,8121
Nota Bruta - Doutores,0.3124,0.2219,0.2766,0,0,1,8121
Nota Padronizada - Doutores,NA,NA,NA,0,NA,NA,8121
Nota Bruta - Regime de Trabalho,0.7592,0.238,0.8125,1,0,1,8121
Nota Padronizada - Regime de Trabalho,NA,NA,NA,5,NA,NA,8121
CPC Contínuo,NA,NA,NA,NA,NA,NA,8121
CPC Faixa,NA,NA,NA,3,NA,NA,8121
